Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,589.0,591.5,583.5999755859375,588.4000244140625,313.38427734375,3790296
2014-01-02,586.7999877929688,593.4000244140625,580.0,580.0,308.910400390625,7950003
2014-01-05,585.0,586.0,580.0,583.0,310.5082092285156,1584359
2014-01-06,582.0,588.4000244140625,575.2000122070312,588.4000244140625,313.38427734375,4565391
2014-01-07,588.4000244140625,599.5,586.0999755859375,598.5,318.7635498046875,4398839
2014-01-08,595.5,598.0,590.7999877929688,595.0,316.89947509765625,2823606
2014-01-09,588.0,591.0999755859375,575.7000122070312,578.0,307.8451843261719,9449453
2014-01-12,581.0999755859375,587.7999877929688,580.0,587.0,312.6386413574219,2587999
2014-01-13,586.0,592.0,582.4000244140625,589.0,313.703857421875,4685782
2014-01-14,583.0,598.0,581.7999877929688,595.0,316.89947509765625,7405577
2014-01-15,590.4000244140625,593.2000122070312,569.5,575.0,306.2473449707031,19692239
2014-01-16,572.7000122070312,573.7999877929688,552.0999755859375,552.2999877929688,294.1572265625,24116408
2014-01-19,543.0,552.9000244140625,540.0999755859375,550.0,292.9322509765625,6210897
2014-01-20,548.5999755859375,549.5999755859375,532.7000122070312,533.5,284.144287109375,13572167
2014-01-21,538.9000244140625,547.5,534.2999877929688,545.0,290.2692565917969,13526215
2014-01-22,538.9000244140625,547.5,534.2999877929688,545.0,290.2692565917969,13526215
2014-01-23,551.0,553.7000122070312,543.5999755859375,545.0,290.2692565917969,6322473
2014-01-26,540.5,545.0,536.0,545.0,290.2692565917969,3946618
2014-01-27,547.0,549.5999755859375,538.5999755859375,547.0999755859375,291.3877258300781,8828883
2014-01-28,548.0,557.0999755859375,542.0,544.5,290.0028991699219,10873671
2014-01-29,542.5999755859375,544.0,534.2999877929688,539.9000244140625,287.55303955078125,8742047
2014-01-30,531.0,545.0,530.2999877929688,539.0,287.0736389160156,18705519
2014-02-02,535.0999755859375,536.9000244140625,531.5,533.0999755859375,283.9312438964844,4642249
2014-02-03,532.0,540.0,530.0999755859375,538.0,286.5410461425781,8594108
2014-02-04,532.0,558.0,530.9000244140625,558.0,297.193115234375,14496335
2014-02-05,557.4000244140625,567.4000244140625,552.2000122070312,556.0,296.1278991699219,12760019
2014-02-06,553.0,556.0,545.0,551.5,293.73114013671875,11320684
2014-02-09,560.5,563.0,553.7999877929688,559.2999877929688,297.885498046875,2663584
2014-02-10,560.5,563.0,553.7999877929688,559.2999877929688,297.885498046875,2663584
2014-02-11,559.7999877929688,572.0,557.0,572.0,304.64959716796875,8541303
2014-02-12,575.0,578.0,564.4000244140625,568.2000122070312,302.62567138671875,29199743
2014-02-13,570.0,570.0,561.4000244140625,570.0,303.58428955078125,4302098
2014-02-16,572.0,575.9000244140625,567.0,570.0,303.58428955078125,1797777
2014-02-17,571.5999755859375,572.7999877929688,564.2999877929688,564.2999877929688,300.54852294921875,2546006
2014-02-18,563.2000122070312,569.7000122070312,560.5,565.0,300.9214172363281,8451724
2014-02-19,565.0,577.5999755859375,565.0,576.2999877929688,306.9397277832031,7498774
2014-02-20,570.0999755859375,591.7000122070312,570.0,588.0,313.1712646484375,10229368
2014-02-23,590.0,591.9000244140625,579.2999877929688,580.5,309.1766662597656,6816546
2014-02-24,580.7999877929688,591.4000244140625,579.5,590.0,314.2364501953125,11492892
